SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
NETFGILT5Y,EQ,50,50,47.68,47.7,47.7,47.42,36,1719.42,08-APR-2021,8,INF204KC1030,
NETFGILT5Y,EQ,47.73,47.75,47.72,47.72,47.72,47.7,75,3579.69,12-APR-2021,7,INF204KC1030,
NETFGILT5Y,EQ,47.7,47.7,47.7,47.7,47.7,47.72,3,143.1,13-APR-2021,1,INF204KC1030,
NETFGILT5Y,EQ,47.75,47.75,47.64,47.66,47.66,47.7,14,667.39,15-APR-2021,4,INF204KC1030,
NETFGILT5Y,EQ,47.65,47.65,47.65,47.65,47.65,47.66,3,142.95,16-APR-2021,1,INF204KC1030,
NETFGILT5Y,EQ,47.7,47.87,47.66,47.85,47.85,47.65,2128,101466.2,19-APR-2021,12,INF204KC1030,
NETFGILT5Y,EQ,47.87,47.88,47.76,47.76,47.76,47.85,1125,53821.48,20-APR-2021,9,INF204KC1030,
NETFGILT5Y,EQ,47.86,47.91,47.85,47.9,47.9,47.76,167,7999.26,22-APR-2021,6,INF204KC1030,
NETFGILT5Y,EQ,47.91,47.91,47.89,47.89,47.89,47.9,19,910.11,23-APR-2021,2,INF204KC1030,
NETFGILT5Y,EQ,48,48.15,48,48.15,48.15,47.89,1016,48919.52,26-APR-2021,8,INF204KC1030,
NETFGILT5Y,EQ,48.15,48.15,48.1,48.14,48.14,48.15,497,23924.39,27-APR-2021,6,INF204KC1030,
NETFGILT5Y,EQ,48.11,48.16,48.11,48.13,48.13,48.14,33,1589.15,28-APR-2021,5,INF204KC1030,
NETFGILT5Y,EQ,48.12,48.12,48.07,48.09,48.09,48.13,388,18659.59,29-APR-2021,8,INF204KC1030,
NETFGILT5Y,EQ,48.11,48.16,48.11,48.13,48.13,48.09,1264,60840.29,30-APR-2021,9,INF204KC1030,
NETFGILT5Y,EQ,48.18,48.18,48.13,48.15,48.15,48.13,31,1493.24,03-MAY-2021,6,INF204KC1030,
NETFGILT5Y,EQ,48.14,48.19,48.14,48.16,48.16,48.15,109,5252.05,04-MAY-2021,12,INF204KC1030,
NETFGILT5Y,EQ,48.17,48.17,48.1,48.13,48.15,48.16,19,914.61,05-MAY-2021,8,INF204KC1030,
NETFGILT5Y,EQ,48.19,48.25,48.19,48.23,48.23,48.13,5466,263625.1,06-MAY-2021,11,INF204KC1030,
NETFGILT5Y,EQ,49.67,49.67,48.2,48.23,48.23,48.23,1723,83086.39,07-MAY-2021,12,INF204KC1030,
NETFGILT5Y,EQ,49.67,49.67,48.18,48.18,48.18,48.23,665,32096.15,10-MAY-2021,6,INF204KC1030,
NETFGILT5Y,EQ,48.23,48.23,48.23,48.23,48.23,48.18,1,48.23,11-MAY-2021,1,INF204KC1030,
NETFGILT5Y,EQ,48.26,48.28,48.2,48.22,48.23,48.23,1369,66007.68,12-MAY-2021,15,INF204KC1030,
NETFGILT5Y,EQ,48.26,48.31,48.16,48.16,48.16,48.22,630,30384.08,14-MAY-2021,6,INF204KC1030,
NETFGILT5Y,EQ,48.25,48.25,48.19,48.24,48.24,48.16,1014,48869.47,17-MAY-2021,9,INF204KC1030,
NETFGILT5Y,EQ,48.24,48.28,48.24,48.27,48.27,48.24,176,8492.99,18-MAY-2021,6,INF204KC1030,
NETFGILT5Y,EQ,48.27,48.27,48.23,48.23,48.23,48.27,453,21848.31,19-MAY-2021,5,INF204KC1030,
NETFGILT5Y,EQ,48.28,48.28,48.23,48.23,48.23,48.23,1426,68776.08,20-MAY-2021,3,INF204KC1030,
NETFGILT5Y,EQ,48.27,48.3,48.26,48.3,48.3,48.23,2241,108223.38,21-MAY-2021,7,INF204KC1030,
NETFGILT5Y,EQ,48.32,48.35,48.3,48.3,48.3,48.3,437,21116.08,24-MAY-2021,4,INF204KC1030,
