SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
AMBICAAGAR,BE,12.55,13.15,11.95,13.15,13.15,10,34009,442561,22-APR-2021,121,INE792B01012,
AMBICAAGAR,BE,13.8,13.8,13.45,13.8,13.8,13.15,92715,1279015,23-APR-2021,153,INE792B01012,
AMBICAAGAR,BE,14.45,14.45,14.45,14.45,14.45,13.8,5275,76223.75,26-APR-2021,26,INE792B01012,
AMBICAAGAR,BE,15.15,15.15,15.15,15.15,15.15,14.45,33551,508297.65,27-APR-2021,33,INE792B01012,
AMBICAAGAR,BE,15.9,15.9,15.9,15.9,15.9,15.15,4252,67606.8,28-APR-2021,11,INE792B01012,
AMBICAAGAR,EQ,16.65,16.65,16.65,16.65,16.65,15.9,2580,42957,29-APR-2021,16,INE792B01012,
AMBICAAGAR,EQ,17.4,17.45,17.4,17.45,17.45,16.65,7391,128872.9,30-APR-2021,25,INE792B01012,
AMBICAAGAR,EQ,18.3,18.3,18.3,18.3,18.3,17.45,4480,81984,03-MAY-2021,19,INE792B01012,
AMBICAAGAR,EQ,19.2,19.2,19.2,19.2,19.2,18.3,5103,97977.6,04-MAY-2021,18,INE792B01012,
AMBICAAGAR,EQ,20.15,20.15,18.25,19.9,19.6,19.2,189376,3601335.85,05-MAY-2021,649,INE792B01012,
AMBICAAGAR,EQ,23.2,23.85,21,23.85,23.85,19.9,351434,8243509.85,06-MAY-2021,1329,INE792B01012,
AMBICAAGAR,EQ,27.6,28.6,26.35,28.6,28.6,23.85,435733,12202502.35,07-MAY-2021,1706,INE792B01012,
AMBICAAGAR,EQ,31.45,31.45,31.45,31.45,31.45,28.6,78616,2472473.2,10-MAY-2021,119,INE792B01012,
AMBICAAGAR,EQ,33.5,34.55,29.05,34.55,34.55,31.45,369237,12240532.5,11-MAY-2021,2251,INE792B01012,
AMBICAAGAR,EQ,37.3,38,35,38,38,34.55,267677,10108115.9,12-MAY-2021,1111,INE792B01012,
AMBICAAGAR,EQ,38.9,39,36.1,36.1,36.1,38,131076,4886516.55,14-MAY-2021,730,INE792B01012,
AMBICAAGAR,EQ,34.3,34.3,34.3,34.3,34.3,36.1,3814,130820.2,17-MAY-2021,76,INE792B01012,
AMBICAAGAR,EQ,32.6,33.6,32.6,32.6,32.6,34.3,327546,10686731.45,18-MAY-2021,621,INE792B01012,
AMBICAAGAR,EQ,31,31,31,31,31,32.6,11209,347479,19-MAY-2021,75,INE792B01012,
AMBICAAGAR,EQ,29.45,29.45,29.45,29.45,29.45,31,16477,485247.65,20-MAY-2021,55,INE792B01012,
AMBICAAGAR,EQ,28,28,28,28,28,29.45,4434,124152,21-MAY-2021,68,INE792B01012,
AMBICAAGAR,EQ,26.6,28.9,26.6,26.6,26.6,28,209090,5594423.25,24-MAY-2021,540,INE792B01012,
